N  ,ACTUAL      ,PREDICTION  ,SAMPLE
70 ,5.7578983333,5.7578983333,1
71 ,4.7555373333,5.4714827196,0
72 ,4.687379    ,4.687379    ,1
73 ,5.500206    ,4.8760361336,0
74 ,6.625279    ,6.625279    ,1
75 ,7.7539736667,6.2925802319,0
76 ,6.708357    ,5.9470479106,0
77 ,6.1426473333,6.1426473333,1
78 ,6.8358496667,5.7658990001,0
79 ,6.5286596667,5.8061402748,0
80 ,6.4133143333,5.532301274 ,0
81 ,6.2854526667,5.4804812233,0
82 ,7.6582156667,5.0826259646,0
83 ,7.011648    ,7.011648    ,1
84 ,7.0534086667,7.0534086667,1
85 ,7.5029496667,7.6629487428,0
86 ,7.738686    ,6.9530879294,0
87 ,10.084472   ,6.8527285047,0
88 ,8.9092436667,7.1569930858,0
89 ,6.85921     ,7.0448728866,0
90 ,6.959453    ,7.0231810421,0
91 ,6.5344893333,7.3521115215,0
92 ,6.159362    ,7.4424107059,0
93 ,5.0221296667,7.6688172163,0
94 ,5.7460753333,7.8174951399,0
95 ,5.236967    ,5.236967    ,1
96 ,5.319431    ,5.1877574822,0
97 ,4.7746043333,4.7746043333,1
98 ,5.9832236667,5.9832236667,1
99 ,6.9709136667,5.8809355654,0
100,6.5292913333,5.9017106765,0
101,5.82865     ,5.82865     ,1
102,6.4853833333,5.7140888253,0
103,5.9716766667,5.9716766667,1
104,6.6397786667,6.6397786667,1
105,5.604735    ,6.2429371096,0
106,6.4328753333,6.4328753333,1
107,5.9241163333,6.4383145131,0
108,5.6936383333,6.4723330364,0
109,5.3742883333,5.3742883333,1
110,5.4548303333,5.456298303 ,0
111,6.468548    ,5.5734443899,0
112,5.1861473333,5.4887503219,0
113,5.1629923333,5.3781806375,0
114,5.1713556667,4.9524634543,0
115,4.733025    ,4.9138595395,0
116,4.9181683333,4.9264912735,0
117,4.928289    ,4.928289    ,1
118,6.41748     ,4.9610421543,0
119,5.465121    ,5.465121    ,1
120,5.0855313333,5.0855313333,1
